algorithm,value,std
sphincsshake256ssimple,40.182871771,0.016764276
sphincsshake256fsimple,40.156657371,0.030880228
sphincsshake192ssimple,40.067306057,0.068272196
sphincsshake192fsimple,40.128336457,0.02325883
sphincsshake128ssimple,40.081876114,0.074555396
sphincsshake128fsimple,40.102824229,0.027453975
sphincssha2256ssimple,40.480065829,0.005956989
sphincssha2256fsimple,40.4795392,0.020796333
sphincssha2192ssimple,40.462570057,0.005385222
sphincssha2192fsimple,40.454729143,0.030091539
sphincssha2128ssimple,40.185797486,0.012886685
sphincssha2128fsimple,40.167306971,0.02991069
mldsa87,40.592471771,0.032077475
mldsa65,40.553325714,0.031101647
mldsa44,40.552974629,0.020189094
falcon512,40.694930286,0.023546699
falcon1024,40.755141486,0.017045775
RSA,19.548218514,0.010819996
EC,19.765365029,0.087059036
