algorithm,value,std
sphincsshake256ssimple,9.492187429,0.08182072
sphincsshake256fsimple,9.448769829,0.026971932
sphincsshake192ssimple,9.498799543,0.078696842
sphincsshake192fsimple,9.441865143,0.023057767
sphincsshake128ssimple,9.4707712,0.063215401
sphincsshake128fsimple,9.449179429,0.027145809
sphincssha2256ssimple,9.979669943,0.039978471
sphincssha2256fsimple,9.973174857,0.026630033
sphincssha2192ssimple,9.998218971,0.05910204
sphincssha2192fsimple,9.967498971,0.024002613
sphincssha2128ssimple,9.728936229,0.048163428
sphincssha2128fsimple,9.705764571,0.024102188
mldsa87,9.971243886,0.025539489
mldsa65,9.976568686,0.027750148
mldsa44,9.970541714,0.025180906
falcon512,10.236430629,0.034929626
falcon1024,10.234558171,0.032780771
RSA,9.376036571,0.003776095
EC,9.437008457,0.018442692
