algorithm,value,std
sphincsshake256ssimple,310.748130743,0.093583752
sphincsshake256fsimple,310.850179657,0.043216738
sphincsshake192ssimple,310.669136457,0.057430585
sphincsshake192fsimple,310.6758656,0.060486363
sphincsshake128ssimple,310.668200229,0.054784865
sphincsshake128fsimple,310.6717696,0.059395173
sphincssha2256ssimple,310.8982784,0.02817283
sphincssha2256fsimple,310.9052416,0.035900965
sphincssha2192ssimple,310.903427657,0.033244157
sphincssha2192fsimple,310.891373714,0.021515154
sphincssha2128ssimple,310.625543314,0.025109834
sphincssha2128fsimple,310.615771429,0.020322938
mldsa87,311.185642057,0.023211214
mldsa65,311.166800457,0.017815676
mldsa44,311.159252114,0.018440813
falcon512,311.239358171,0.081685098
falcon1024,311.396000914,0.041134707
RSA,110.037752686,0.055026754
EC,110.051210971,0.04425269
