algorithm,value,std
sphincsshake256ssimple,310.636017371,0.040775092
sphincsshake256fsimple,310.6729984,0.02526051
sphincsshake192ssimple,310.612611657,0.045384728
sphincsshake192fsimple,310.636778057,0.049186054
sphincsshake128ssimple,310.591722057,0.049633865
sphincsshake128fsimple,310.607813486,0.052899791
sphincssha2256ssimple,310.671594057,0.023890046
sphincssha2256fsimple,310.734496914,0.056151749
sphincssha2192ssimple,310.659306057,0.03723242
sphincssha2192fsimple,310.680254171,0.029682201
sphincssha2128ssimple,310.390959543,0.034449591
sphincssha2128fsimple,310.389789257,0.028933155
mldsa87,310.918407314,0.014863398
mldsa65,310.913550629,0.021370904
mldsa44,310.900736,0.014919858
falcon512,311.118877257,0.050789038
falcon1024,311.143804343,0.027899518
RSA,109.819552914,0.020023679
EC,109.841846857,0.034490857
