algorithm,value,std
sphincsshake256ssimple,14.780394000000001,0.142609
sphincsshake256fsimple,14.757328,0.12153599999999999
sphincsshake192ssimple,14.820958000000001,0.119943
sphincsshake192fsimple,14.735983,0.10438399999999999
sphincsshake128ssimple,14.791698,0.102176
sphincsshake128fsimple,14.763188999999999,0.132653
sphincssha2256ssimple,14.795337,0.116312
sphincssha2256fsimple,14.677374,0.10538
sphincssha2192ssimple,14.791932000000001,0.123535
sphincssha2192fsimple,14.752618,0.103954
sphincssha2128ssimple,14.809529999999999,0.083592
sphincssha2128fsimple,14.768434000000001,0.12832300000000002
mldsa87,14.752368,0.11711099999999999
mldsa65,14.725271999999999,0.11801199999999999
mldsa44,14.754926999999999,0.109963
falcon512,14.774890000000001,0.120434
falcon1024,14.732756,0.122447
RSA,14.773541,0.13466699999999998
EC,14.796709,0.116752
