algorithm,value,std
sphincsshake256ssimple,9.264913,0.112964
sphincsshake256fsimple,9.313621,0.108708
sphincsshake192ssimple,9.325189,0.13501
sphincsshake192fsimple,9.284835,0.100168
sphincsshake128ssimple,9.252979999999999,0.09810200000000001
sphincsshake128fsimple,9.236130000000001,0.106431
sphincssha2256ssimple,9.310533,0.100278
sphincssha2256fsimple,9.255908,0.104835
sphincssha2192ssimple,9.328607,0.114924
sphincssha2192fsimple,9.280982999999999,0.10218100000000001
sphincssha2128ssimple,9.301776,0.098716
sphincssha2128fsimple,9.256811,0.119122
mldsa87,9.300709000000001,0.091007
mldsa65,9.269743,0.140245
mldsa44,9.362841,0.09497599999999999
falcon512,9.317079000000001,0.11213200000000001
falcon1024,9.23344,0.097707
RSA,9.270278999999999,0.113878
EC,9.215285999999999,0.099285
