algorithm,value,std
sphincsshake256ssimple,601.7137,0.54404
sphincsshake256fsimple,601.8132499999999,0.45071500000000003
sphincsshake192ssimple,602.314296,0.650464
sphincsshake192fsimple,602.563306,0.551629
sphincsshake128ssimple,602.645883,0.437558
sphincsshake128fsimple,602.7992340000001,0.5376829999999999
sphincssha2256ssimple,602.820174,0.6511330000000001
sphincssha2256fsimple,602.9385470000001,0.566777
sphincssha2192ssimple,602.6783,0.49323100000000003
sphincssha2192fsimple,602.992752,0.516188
sphincssha2128ssimple,602.8325329999999,0.623967
sphincssha2128fsimple,602.782142,0.5932170000000001
mldsa87,602.612347,0.48955699999999996
mldsa65,602.657916,0.463647
mldsa44,603.3454830000001,0.636466
falcon512,603.2937350000001,0.471236
falcon1024,603.480637,0.5815469999999999
RSA,603.140985,0.46348
EC,603.245058,0.5795779999999999
