algorithm,value,std
sphincsshake256ssimple,33.678126000000006,0.180385
sphincsshake256fsimple,33.899798000000004,0.14458200000000002
sphincsshake192ssimple,33.637687,0.150173
sphincsshake192fsimple,33.769843,0.176752
sphincsshake128ssimple,33.595369,0.158306
sphincsshake128fsimple,33.576649,0.17721499999999998
sphincssha2256ssimple,33.749958,0.152255
sphincssha2256fsimple,33.886454,0.152818
sphincssha2192ssimple,33.588496,0.163525
sphincssha2192fsimple,33.837163000000004,0.161306
sphincssha2128ssimple,33.612959,0.138872
sphincssha2128fsimple,33.684168,0.177515
mldsa87,33.82718,0.15859199999999998
mldsa65,33.742356,0.16642400000000002
mldsa44,33.799405,0.138299
falcon512,33.664026,0.16131399999999999
falcon1024,33.711093,0.170051
RSA,33.271787999999994,0.163545
EC,33.263875999999996,0.14846299999999998
