algorithm,value,std
sphincsshake256ssimple,2120.219733,0.664791
sphincsshake256fsimple,1475.193035,0.628603
sphincsshake192ssimple,2253.562191,1.140248
sphincsshake192fsimple,1436.521172,0.588805
sphincsshake128ssimple,1902.236818,0.730162
sphincsshake128fsimple,1423.658977,0.723894
sphincssha2256ssimple,1310.7725500000001,0.693648
sphincssha2256fsimple,920.151696,0.682224
sphincssha2192ssimple,1373.274998,0.769546
sphincssha2192fsimple,898.550881,0.91881
sphincssha2128ssimple,796.891897,0.519058
sphincssha2128fsimple,540.10366,0.633505
mldsa87,1018.2417239999999,0.679895
mldsa65,1017.809768,0.552277
mldsa44,1017.7502599999999,0.763409
falcon512,1026.732654,1.487951
falcon1024,1043.725584,1.905166
RSA,425.079162,79.83366
EC,185.136445,0.39881999999999995
