algorithm,value,std
sphincsshake256ssimple,58.573793,0.17061600000000002
sphincsshake256fsimple,5.894161,0.178702
sphincsshake192ssimple,88.342242,0.191376
sphincsshake192fsimple,3.698966,0.14920999999999998
sphincsshake128ssimple,61.133512,0.16681500000000002
sphincsshake128fsimple,3.354222,0.15453799999999998
sphincssha2256ssimple,33.632576,0.16702
sphincssha2256fsimple,4.619724000000001,0.141782
sphincssha2192ssimple,49.147684,0.16999899999999998
sphincssha2192fsimple,3.402305,0.146935
sphincssha2128ssimple,34.065929000000004,0.15888
sphincssha2128fsimple,3.0708670000000002,0.164155
mldsa87,2.720442,0.138273
mldsa65,2.69513,0.184035
mldsa44,2.619164,0.161039
falcon512,10.946788000000002,0.829982
falcon1024,27.610892,2.270967
RSA,186.24901899999998,53.762613
EC,2.431804,0.140092
