algorithm,value,std
sphincsshake256ssimple,9467.561479,2.486672
sphincsshake256fsimple,8884.025171,1.705795
sphincsshake192ssimple,9582.403830000001,2.1138
sphincsshake192fsimple,8844.201886,2.325558
sphincsshake128ssimple,9245.92295,2.7048609999999997
sphincsshake128fsimple,8820.895837,2.58844
sphincssha2256ssimple,5721.124398,2.821503
sphincssha2256fsimple,5358.030176,1.8858290000000002
sphincssha2192ssimple,5776.3073540000005,3.2444610000000003
sphincssha2192fsimple,5344.688698999999,3.1433210000000003
sphincssha2128ssimple,3234.3762850000003,1.8625530000000001
sphincssha2128fsimple,3006.9309350000003,1.850663
mldsa87,5118.080584,2.0211550000000003
mldsa65,4995.272259,1.849925
mldsa44,4992.915862,3.090423
falcon512,4989.734466,1.749862
falcon1024,4994.754186,2.0205650000000004
RSA,907.712755,0.760598
EC,906.5712030000001,0.915777
