algorithm,value,std
sphincsshake256ssimple,512.94071,0.52547
sphincsshake256fsimple,514.405585,0.6602790000000001
sphincsshake192ssimple,512.7318680000001,0.41197500000000004
sphincsshake192fsimple,513.973357,0.453974
sphincsshake128ssimple,512.55736,0.669609
sphincsshake128fsimple,513.282821,0.453401
sphincssha2256ssimple,339.34328200000004,0.481115
sphincssha2256fsimple,339.944826,0.43411900000000003
sphincssha2192ssimple,338.896807,0.462681
sphincssha2192fsimple,339.938451,0.45680200000000004
sphincssha2128ssimple,222.24867600000002,0.442805
sphincssha2128fsimple,223.104812,0.435336
mldsa87,512.278562,0.693798
mldsa65,512.431494,0.47945000000000004
mldsa44,512.6494630000001,0.662902
falcon512,512.547127,0.546059
falcon1024,512.5600569999999,0.575799
RSA,91.651588,0.44464899999999996
EC,91.606247,0.38407399999999997
