algorithm,value,std
sphincsshake256ssimple,876.5849049999999,0.27759
sphincsshake256fsimple,231.3817,0.187419
sphincsshake192ssimple,1010.993464,0.704116
sphincsshake192fsimple,193.495387,0.147787
sphincsshake128ssimple,658.2502810000001,0.374886
sphincsshake128fsimple,179.343509,0.167486
sphincssha2256ssimple,538.3305819999999,0.38662100000000005
sphincssha2256fsimple,147.255594,0.163141
sphincssha2192ssimple,599.935155,0.25641200000000003
sphincssha2192fsimple,125.03535700000002,0.129144
sphincssha2128ssimple,338.94327000000004,0.203455
sphincssha2128fsimple,81.06109000000001,0.153918
mldsa87,117.773004,0.182621
mldsa65,117.573916,0.163646
mldsa44,117.432177,0.15537900000000002
falcon512,126.17194,1.227579
falcon1024,143.140146,2.01733
RSA,249.196256,64.619802
EC,36.306665,0.125007
