algorithm,value,std
sphincsshake256ssimple,67.838706,0.127863
sphincsshake256fsimple,15.207782,0.141834
sphincsshake192ssimple,97.667431,0.13563599999999998
sphincsshake192fsimple,12.983801,0.11058899999999999
sphincsshake128ssimple,70.38649199999999,0.13491999999999998
sphincsshake128fsimple,12.590352000000001,0.112046
sphincssha2256ssimple,42.943109,0.133567
sphincssha2256fsimple,13.875632000000001,0.095455
sphincssha2192ssimple,58.476290999999996,0.125268
sphincssha2192fsimple,12.683288,0.10558899999999999
sphincssha2128ssimple,43.367705,0.12449100000000002
sphincssha2128fsimple,12.327678,0.112946
mldsa87,12.021151000000001,0.104102
mldsa65,11.964872999999999,0.11916500000000001
mldsa44,11.982005000000001,0.130051
falcon512,20.263867,0.822372
falcon1024,36.844332,2.268864
RSA,195.51929800000002,53.762492
EC,11.64709,0.09883499999999999
