algorithm,value,std
sphincsshake256ssimple,787.568984,0.311648
sphincsshake256fsimple,193.63296599999998,0.209186
sphincsshake192ssimple,892.149605,0.669876
sphincsshake192fsimple,158.067253,0.17133299999999999
sphincsshake128ssimple,567.185924,0.419413
sphincsshake128fsimple,144.79840199999998,0.194515
sphincssha2256ssimple,492.12951,0.308928
sphincssha2256fsimple,129.44971999999999,0.154419
sphincssha2192ssimple,538.921597,0.32687900000000003
sphincssha2192fsimple,108.335659,0.188739
sphincssha2128ssimple,304.27087400000005,0.232333
sphincssha2128fsimple,76.702365,0.179997
mldsa87,87.131022,0.193664
mldsa65,85.943718,0.20003600000000002
mldsa44,85.833576,0.180108
falcon512,86.043969,0.19799999999999998
falcon1024,86.363804,0.206584
RSA,45.290842999999995,0.166553
EC,43.985252,0.15961799999999998
