algorithm,value,std
sphincsshake256ssimple,85.37077,0.148658
sphincsshake256fsimple,86.62258800000001,0.138052
sphincsshake192ssimple,85.037214,0.161645
sphincsshake192fsimple,86.51318500000001,0.16442400000000001
sphincsshake128ssimple,84.62191700000001,0.19753199999999999
sphincsshake128fsimple,85.665599,0.209948
sphincssha2256ssimple,68.574566,0.200073
sphincssha2256fsimple,69.363041,0.16137500000000002
sphincssha2192ssimple,68.34422900000001,0.15972
sphincssha2192fsimple,69.180391,0.18326900000000002
sphincssha2128ssimple,56.208975,0.15373900000000001
sphincssha2128fsimple,56.860577,0.15602
mldsa87,84.811506,0.154938
mldsa65,84.81001,0.16891599999999998
mldsa44,84.680915,0.18817199999999998
falcon512,84.795653,0.156675
falcon1024,84.879368,0.210733
RSA,43.246399999999994,0.15209899999999998
EC,43.292715,0.142132
