algorithm,value,std
sphincsshake256ssimple,60.186,0.36445200000000005
sphincsshake256fsimple,60.190471,0.34027599999999997
sphincsshake192ssimple,60.4033,0.385197
sphincsshake192fsimple,60.251486,0.364557
sphincsshake128ssimple,60.155756999999994,0.265464
sphincsshake128fsimple,60.316057,0.31502199999999997
sphincssha2256ssimple,60.1864,0.314091
sphincssha2256fsimple,60.033757,0.233733
sphincssha2192ssimple,60.230771000000004,0.377087
sphincssha2192fsimple,60.173943,0.318162
sphincssha2128ssimple,60.257186,0.336165
sphincssha2128fsimple,60.264043,0.29873500000000003
mldsa87,60.091229000000006,0.25090399999999996
mldsa65,60.2004,0.31101399999999996
mldsa44,60.236029,0.316554
falcon512,60.3743,0.306411
falcon1024,60.380086,0.26504
RSA,60.297943,0.267973
EC,60.447928999999995,0.302776
