algorithm,value,std
sphincsshake256ssimple,37.756186,0.375557
sphincsshake256fsimple,37.768299999999996,0.262525
sphincsshake192ssimple,37.801443,0.305153
sphincsshake192fsimple,37.700229,0.234681
sphincsshake128ssimple,37.6864,0.196044
sphincsshake128fsimple,37.769314,0.25156
sphincssha2256ssimple,37.713971,0.25217
sphincssha2256fsimple,37.862171000000004,0.262074
sphincssha2192ssimple,37.725686,0.21965200000000001
sphincssha2192fsimple,37.818014,0.23613
sphincssha2128ssimple,37.789757,0.22122
sphincssha2128fsimple,37.779114,0.242154
mldsa87,37.821386,0.301316
mldsa65,37.710729,0.250413
mldsa44,37.7797,0.281309
falcon512,37.7073,0.21601199999999998
falcon1024,37.894429,0.30151100000000003
RSA,37.77719999999999,0.21734900000000001
EC,37.778857,0.22236799999999998
