algorithm,value,std
sphincsshake256ssimple,184.242729,0.26911799999999997
sphincsshake256fsimple,185.225214,0.25355300000000003
sphincsshake192ssimple,184.726543,0.324607
sphincsshake192fsimple,185.491114,0.300683
sphincsshake128ssimple,184.27487100000002,0.25284
sphincsshake128fsimple,184.72528599999998,0.241554
sphincssha2256ssimple,184.4649,0.286772
sphincssha2256fsimple,185.444086,0.243718
sphincssha2192ssimple,184.944043,0.34005199999999997
sphincssha2192fsimple,185.724429,0.293895
sphincssha2128ssimple,184.56555699999998,0.280061
sphincssha2128fsimple,185.097843,0.339635
mldsa87,184.63808600000002,0.256378
mldsa65,184.370857,0.236316
mldsa44,184.939743,0.277706
falcon512,183.798486,0.275037
falcon1024,185.183986,0.347418
RSA,182.18384300000002,0.369754
EC,182.358771,0.287111
