algorithm,value,std
sphincsshake256ssimple,8005.192986000001,4.5034209999999995
sphincsshake256fsimple,1254.237843,1.026576
sphincsshake192ssimple,9220.498314,14.354128000000001
sphincsshake192fsimple,852.524243,0.924744
sphincsshake128ssimple,5585.4706,9.094447
sphincsshake128fsimple,705.6631570000001,0.96266
sphincssha2256ssimple,11350.277442999999,3.007137
sphincssha2256fsimple,1482.474943,1.052958
sphincssha2192ssimple,13019.806472,5.3293029999999995
sphincssha2192fsimple,913.707314,0.861556
sphincssha2128ssimple,7926.724843,5.975764
sphincssha2128fsimple,818.284714,1.036319
mldsa87,365.449914,1.837345
mldsa65,364.290543,1.476061
mldsa44,361.176957,1.146741
falcon512,394.8278,4.662819000000001
falcon1024,463.170228,11.96399
RSA,2316.6931,621.2796139999999
EC,238.978442,0.445442
