algorithm,value,std
sphincsshake256ssimple,597.129843,0.5232
sphincsshake256fsimple,51.624943,0.43328
sphincsshake192ssimple,890.140457,0.487372
sphincsshake192fsimple,28.880914,0.35961800000000005
sphincsshake128ssimple,610.9104,1.034036
sphincsshake128fsimple,24.384972,0.338537
sphincssha2256ssimple,848.070729,0.637872
sphincssha2256fsimple,67.902343,0.392283
sphincssha2192ssimple,1265.2718,0.570363
sphincssha2192fsimple,36.114872,0.414302
sphincssha2128ssimple,881.257872,1.221508
sphincssha2128fsimple,29.910043,0.351489
mldsa87,16.251670999999998,0.378268
mldsa65,15.766084999999999,0.34397099999999997
mldsa44,15.336857,0.42953600000000003
falcon512,52.154814,5.480709
falcon1024,113.105042,10.133571
RSA,1845.4693,581.339796
EC,15.221629,0.285596
