algorithm,value,std
sphincsshake256ssimple,7229.570127999999,5.512397
sphincsshake256fsimple,1019.4192429999999,0.652035
sphincsshake192ssimple,8161.000856999999,12.993646
sphincsshake192fsimple,640.437943,0.743078
sphincsshake128ssimple,4817.389114,0.9336089999999999
sphincsshake128fsimple,504.56095700000003,0.7059650000000001
sphincssha2256ssimple,10367.539043,3.150765
sphincssha2256fsimple,1261.051385,0.842161
sphincssha2192ssimple,11623.0222,3.0265299999999997
sphincssha2192fsimple,723.889543,0.8426440000000001
sphincssha2128ssimple,6879.5928,2.173028
sphincssha2128fsimple,605.4616430000001,0.769373
mldsa87,184.0788,1.751045
mldsa65,182.7851,1.679872
mldsa44,181.22908600000002,1.004736
falcon512,180.684843,0.648693
falcon1024,182.5051,0.6672699999999999
RSA,130.039186,0.448338
EC,119.731386,0.402883
