algorithm,value,std
sphincsshake256ssimple,14.501429,0.380955
sphincsshake256fsimple,24.543414,0.44250700000000004
sphincsshake192ssimple,10.920357000000001,0.416238
sphincsshake192fsimple,23.3097,0.436737
sphincsshake128ssimple,8.747871,0.349984
sphincsshake128fsimple,17.356843,0.443058
sphincssha2256ssimple,25.321900000000003,0.362728
sphincssha2256fsimple,38.880757,0.398391
sphincssha2192ssimple,19.974443,0.443432
sphincssha2192fsimple,37.653072,0.42530999999999997
sphincssha2128ssimple,17.090343,0.44501700000000005
sphincssha2128fsimple,29.330071999999998,0.43255499999999997
mldsa87,6.363856999999999,0.35861200000000004
mldsa65,5.741543,0.476205
mldsa44,5.174415,0.468781
falcon512,5.4724580000000005,0.353258
falcon1024,5.354186,0.497953
RSA,3.552,0.378239
EC,4.179015000000001,0.379791
