algorithm,value,std
sphincsshake256ssimple,7604.279557,1.464661
sphincsshake256fsimple,852.862043,0.350454
sphincsshake192ssimple,8818.712029,13.781882000000001
sphincsshake192fsimple,451.07212899999996,0.636616
sphincsshake128ssimple,5195.952413999999,1.177531
sphincsshake128fsimple,305.035014,0.347535
sphincssha2256ssimple,11066.492771,20.336749
sphincssha2256fsimple,1187.803771,2.018301
sphincssha2192ssimple,12720.948757,4.837872
sphincssha2192fsimple,617.670157,0.654791
sphincssha2128ssimple,7514.123414000001,5.47325
sphincssha2128fsimple,408.534757,0.5049790000000001
mldsa87,70.346386,1.91603
mldsa65,67.657843,1.2044320000000002
mldsa44,65.33957099999999,0.9931390000000001
falcon512,98.208586,4.831269
falcon1024,163.15109999999999,9.820006
RSA,1915.120143,672.4037189999999
EC,58.125814,0.295118
