algorithm,value,std
sphincsshake256ssimple,634.886029,0.364274
sphincsshake256fsimple,89.393243,0.34469099999999997
sphincsshake192ssimple,927.9419,0.380017
sphincsshake192fsimple,66.581143,0.272489
sphincsshake128ssimple,648.5968,1.015282
sphincsshake128fsimple,62.154286000000006,0.22655
sphincssha2256ssimple,885.7846999999999,0.58591
sphincssha2256fsimple,105.764514,0.291896
sphincssha2192ssimple,1302.997486,0.526372
sphincssha2192fsimple,73.932886,0.340424
sphincssha2128ssimple,919.047629,1.201309
sphincssha2128fsimple,67.689157,0.25476600000000005
mldsa87,54.073057,0.228682
mldsa65,53.476814,0.235816
mldsa44,53.116557,0.324602
falcon512,89.862114,5.47645
falcon1024,150.999471,10.129084
RSA,1883.2465,581.339755
EC,53.000486,0.179213
