algorithm,value,std
sphincsshake256ssimple,198.639743,0.309785
sphincsshake256fsimple,209.839,0.319247
sphincsshake192ssimple,195.51394299999998,0.320178
sphincsshake192fsimple,208.8278,0.29861200000000004
sphincsshake128ssimple,192.961557,0.264505
sphincsshake128fsimple,202.07608599999998,0.356583
sphincssha2256ssimple,209.8348,0.269027
sphincssha2256fsimple,224.31561399999998,0.32984
sphincssha2192ssimple,204.919886,0.234461
sphincssha2192fsimple,223.294129,0.35751799999999995
sphincssha2128ssimple,201.69061399999998,0.347359
sphincssha2128fsimple,214.38892900000002,0.286042
mldsa87,191.01954300000003,0.278885
mldsa65,190.1983,0.35329900000000003
mldsa44,190.258229,0.292051
falcon512,189.092729,0.27641
falcon1024,190.495729,0.363811
RSA,185.42087099999998,0.189491
EC,186.364786,0.294563
