algorithm,value,std
sphincsshake256ssimple,39.749514971,0.009655744
sphincsshake256fsimple,39.754371657,0.010573199
sphincsshake192ssimple,39.716161829,0.042307452
sphincsshake192fsimple,39.744190171,0.019600001
sphincsshake128ssimple,39.703815314,0.049651777
sphincsshake128fsimple,39.660631771,0.050113037
sphincssha2256ssimple,39.817274514,0.026338146
sphincssha2256fsimple,39.803465143,0.032342547
sphincssha2192ssimple,39.806800457,0.02955055
sphincssha2192fsimple,39.790650514,0.031687165
sphincssha2128ssimple,39.811657143,0.030324962
sphincssha2128fsimple,39.790943086,0.031104383
mldsa87,39.6316672,0.017100707
mldsa65,39.621076114,0.009473251
mldsa44,39.545417143,0.047645017
falcon512,39.786144914,0.028433498
falcon1024,39.919850057,0.042606195
RSA,19.151199086,0.016830449
EC,19.189408914,0.031786763
