algorithm,value,std
sphincsshake256ssimple,9.472994743,0.012681135
sphincsshake256fsimple,9.466616686,0.021200944
sphincsshake192ssimple,9.465270857,0.028078906
sphincsshake192fsimple,9.474399086,0.007170937
sphincsshake128ssimple,9.463749486,0.03010533
sphincsshake128fsimple,9.472117029,0.013226153
sphincssha2256ssimple,9.515066514,0.054457997
sphincssha2256fsimple,9.475920457,0.002170282
sphincssha2192ssimple,9.5055872,0.046812611
sphincssha2192fsimple,9.475218286,0.010416982
sphincssha2128ssimple,9.512257829,0.049155569
sphincssha2128fsimple,9.4765056,0.00245562
mldsa87,9.230979657,0.02434624
mldsa65,9.225537829,0.022775919
mldsa44,9.219744914,0.015114037
falcon512,9.4748672,0.006451895
falcon1024,9.578613029,0.105042484
RSA,9.013306514,0.070154672
EC,9.211552914,0.007136949
