algorithm,value,std
sphincsshake256ssimple,39.745770057,0.082772271
sphincsshake256fsimple,39.656769829,0.049418268
sphincsshake192ssimple,39.735471543,0.086610216
sphincsshake192fsimple,39.640970971,0.039020241
sphincsshake128ssimple,39.751504457,0.085491264
sphincsshake128fsimple,39.645535086,0.037493426
sphincssha2256ssimple,39.808087771,0.101432984
sphincssha2256fsimple,39.883629714,0.019399513
sphincssha2192ssimple,39.857473829,0.058792677
sphincssha2192fsimple,39.677366857,0.07833405
sphincssha2128ssimple,39.786671543,0.106550065
sphincssha2128fsimple,39.677425371,0.074798386
mldsa87,39.6398592,0.021677921
mldsa65,39.635470629,0.019478048
mldsa44,39.610543543,0.031984593
falcon512,39.859229257,0.041995752
falcon1024,39.911248457,0.03291929
RSA,19.2094208,0.042341224
EC,19.218607543,0.060103406
