algorithm,value,std
sphincsshake256ssimple,9.521152,0.014253077
sphincsshake256fsimple,9.772529371,0.062032435
sphincsshake192ssimple,9.499677257,0.004713469
sphincsshake192fsimple,9.528758857,0.011543938
sphincsshake128ssimple,9.488442514,0.005523731
sphincsshake128fsimple,9.506698971,0.016204506
sphincssha2256ssimple,9.747309714,0.054286499
sphincssha2256fsimple,9.8025472,0.01004764
sphincssha2192ssimple,9.733909943,0.047571472
sphincssha2192fsimple,9.778965943,0.019471359
sphincssha2128ssimple,9.731861943,0.033055284
sphincssha2128fsimple,9.756554971,0.012178112
mldsa87,9.492597029,0.002487244
mldsa65,9.491017143,0.007087132
mldsa44,9.481654857,0.009720102
falcon512,9.733032229,0.018079667
falcon1024,9.740756114,0.011191161
RSA,9.213776457,0.009804784
EC,9.207808,0.019413384
