algorithm,value,std
sphincsshake256ssimple,76.771378,0.642387
sphincsshake256fsimple,76.74319,0.690597
sphincsshake192ssimple,77.28769700000001,0.8146260000000001
sphincsshake192fsimple,77.14924500000001,0.8051980000000001
sphincsshake128ssimple,76.73663499999999,0.5545049999999999
sphincsshake128fsimple,77.10959100000001,0.5993959999999999
sphincssha2256ssimple,76.82655,0.615308
sphincssha2256fsimple,76.72608,0.590179
sphincssha2192ssimple,76.981921,0.671009
sphincssha2192fsimple,76.82696899999999,0.6104250000000001
sphincssha2128ssimple,77.046581,0.7174119999999999
sphincssha2128fsimple,77.022498,0.654953
mldsa87,76.667574,0.517894
mldsa65,76.810649,0.595851
mldsa44,76.75863600000001,0.597221
falcon512,76.89404800000001,0.600168
falcon1024,77.038688,0.592441
RSA,76.827352,0.53718
EC,77.184033,0.581911
