algorithm,value,std
sphincsshake256ssimple,54.429586,0.858935
sphincsshake256fsimple,54.254424,0.563343
sphincsshake192ssimple,54.382191000000006,0.6727639999999999
sphincsshake192fsimple,54.191938,0.533493
sphincsshake128ssimple,54.423021,0.6387619999999999
sphincsshake128fsimple,54.587594,0.742093
sphincssha2256ssimple,54.264858,0.5535909999999999
sphincssha2256fsimple,54.431242999999995,0.624916
sphincssha2192ssimple,54.130283,0.48504
sphincssha2192fsimple,54.316968,0.544761
sphincssha2128ssimple,54.656066,0.794318
sphincssha2128fsimple,54.346628,0.5220309999999999
mldsa87,54.34626,0.5445209999999999
mldsa65,54.344268,0.560916
mldsa44,54.440885,0.678534
falcon512,54.309488,0.536363
falcon1024,54.370366000000004,0.502109
RSA,54.319154000000005,0.587394
EC,54.442173000000004,0.611853
