algorithm,value,std
sphincsshake256ssimple,200.905169,0.5245770000000001
sphincsshake256fsimple,201.281672,0.594734
sphincsshake192ssimple,202.053894,0.558848
sphincsshake192fsimple,202.13472299999998,0.581207
sphincsshake128ssimple,202.10037499999999,0.668552
sphincsshake128fsimple,201.953153,0.570431
sphincssha2256ssimple,201.24378000000002,0.586133
sphincssha2256fsimple,201.288806,0.507533
sphincssha2192ssimple,202.015747,0.457009
sphincssha2192fsimple,202.222504,0.5693290000000001
sphincssha2128ssimple,202.216171,0.516873
sphincssha2128fsimple,202.28824400000002,0.573114
mldsa87,202.253056,0.532176
mldsa65,201.81447799999998,0.479657
mldsa44,202.462103,0.5566949999999999
falcon512,201.415179,0.499351
falcon1024,202.788264,0.5606909999999999
RSA,199.45464099999998,0.592044
EC,199.431607,0.484131
