algorithm,value,std
sphincsshake256ssimple,202.047176,0.520388
sphincsshake256fsimple,203.228913,0.5896229999999999
sphincsshake192ssimple,202.53106100000002,0.578968
sphincsshake192fsimple,203.63287499999998,0.6092339999999999
sphincsshake128ssimple,202.120904,0.49899299999999996
sphincsshake128fsimple,202.716855,0.512877
sphincssha2256ssimple,202.28586900000002,0.5652469999999999
sphincssha2256fsimple,203.260622,0.413953
sphincssha2192ssimple,203.20212600000002,0.642783
sphincssha2192fsimple,203.747941,0.610922
sphincssha2128ssimple,202.68915700000002,0.607757
sphincssha2128fsimple,203.154033,0.585083
mldsa87,202.499421,0.403304
mldsa65,202.30384700000002,0.5415669999999999
mldsa44,202.999864,0.6253120000000001
falcon512,201.448386,0.485527
falcon1024,203.074251,0.571034
RSA,199.54372800000002,0.5987899999999999
EC,199.534703,0.543394
