algorithm,value,std
sphincsshake256ssimple,8009.311791,4.077909
sphincsshake256fsimple,1256.189021,1.266955
sphincsshake192ssimple,9224.637525,14.427222
sphincsshake192fsimple,854.2099029999999,1.318906
sphincsshake128ssimple,5589.87892,8.73439
sphincsshake128fsimple,707.4548699999999,1.198529
sphincssha2256ssimple,11355.354773000001,3.372544
sphincssha2256fsimple,1484.798027,1.462681
sphincssha2192ssimple,13024.817341,5.719466000000001
sphincssha2192fsimple,915.8195489999999,1.078868
sphincssha2128ssimple,7930.8171649999995,5.961826
sphincssha2128fsimple,820.351858,1.211755
mldsa87,367.408041,2.183792
mldsa65,366.09607500000004,1.757704
mldsa44,362.94956299999996,1.369996
falcon512,396.951303,4.68988
falcon1024,465.27324,11.987653
RSA,2318.520007,621.2288580000001
EC,240.12981,0.855688
