algorithm,value,std
sphincsshake256ssimple,598.662646,1.177722
sphincsshake256fsimple,53.242763,0.911087
sphincsshake192ssimple,892.003286,1.0593480000000002
sphincsshake192fsimple,30.487073,0.828712
sphincsshake128ssimple,612.440161,1.115837
sphincsshake128fsimple,25.526885,1.011779
sphincssha2256ssimple,850.097532,1.204218
sphincssha2256fsimple,69.279938,0.841576
sphincssha2192ssimple,1267.4037250000001,1.158303
sphincssha2192fsimple,37.593917,0.815789
sphincssha2128ssimple,882.7877229999999,1.527025
sphincssha2128fsimple,31.211604,0.7736820000000001
mldsa87,17.532082000000003,1.0001140000000002
mldsa65,17.049927,0.9418179999999999
mldsa44,16.383345000000002,0.961447
falcon512,53.989989,5.428025000000001
falcon1024,115.476424,10.377812
RSA,1847.048581,581.746161
EC,16.028273,0.831932
