algorithm,value,std
sphincsshake256ssimple,7232.352273,5.148869
sphincsshake256fsimple,1020.210354,0.989873
sphincsshake192ssimple,8163.71161,12.324186000000001
sphincsshake192fsimple,641.434342,1.036733
sphincsshake128ssimple,4820.026063,1.577924
sphincsshake128fsimple,505.24076299999996,1.185433
sphincssha2256ssimple,10371.396112999999,3.548787
sphincssha2256fsimple,1262.0779639999998,1.098648
sphincssha2192ssimple,11627.048363,3.096883
sphincssha2192fsimple,724.9780420000001,1.0077260000000001
sphincssha2128ssimple,6882.908631,2.578504
sphincssha2128fsimple,606.8238670000001,1.109505
mldsa87,184.89530200000002,1.940567
mldsa65,183.98890500000002,2.216778
mldsa44,182.348447,1.4012339999999999
falcon512,182.136412,0.9942480000000001
falcon1024,183.566861,0.925327
RSA,130.160808,0.779278
EC,120.131648,0.857263
