algorithm,value,std
sphincsshake256ssimple,14.843945000000001,0.72211
sphincsshake256fsimple,24.570278000000002,0.756409
sphincsshake192ssimple,11.200835,0.731206
sphincsshake192fsimple,23.891638999999998,0.867769
sphincsshake128ssimple,9.517546,0.71554
sphincsshake128fsimple,17.670109,0.6781400000000001
sphincssha2256ssimple,25.553354,0.696584
sphincssha2256fsimple,39.173276,0.799499
sphincssha2192ssimple,19.94396,0.866644
sphincssha2192fsimple,37.972344,0.79006
sphincssha2128ssimple,18.185008999999997,0.765756
sphincssha2128fsimple,29.797626,0.792707
mldsa87,6.663507,0.693983
mldsa65,6.415024,0.782886
mldsa44,5.685974,0.7469370000000001
falcon512,6.112499000000001,0.705538
falcon1024,5.798928,0.773149
RSA,3.354057,0.8067000000000001
EC,4.024108,0.82554
