algorithm,value,std
sphincsshake256ssimple,7619.194334000001,5.48866
sphincsshake256fsimple,871.1924260000001,0.9491649999999999
sphincsshake192ssimple,8839.384106000001,12.683164999999999
sphincsshake192fsimple,469.46380999999997,0.936126
sphincsshake128ssimple,5204.113221,9.199482
sphincsshake128fsimple,322.98487,0.719928
sphincssha2256ssimple,11074.607762,3.7098940000000002
sphincssha2256fsimple,1205.3610079999999,0.807805
sphincssha2192ssimple,12742.289419,5.556992
sphincssha2192fsimple,636.4235339999999,0.915576
sphincssha2128ssimple,7542.635244,3.361081
sphincssha2128fsimple,427.701396,0.779821
mldsa87,87.640368,1.4978490000000002
mldsa65,86.250649,1.81331
mldsa44,83.299425,1.008049
falcon512,117.80740200000001,6.185555
falcon1024,181.941878,9.733695
RSA,1990.864422,635.725515
EC,75.848494,0.721633
