algorithm,value,std
sphincsshake256ssimple,653.092232,0.805766
sphincsshake256fsimple,107.497187,0.716048
sphincsshake192ssimple,946.3854769999999,0.818295
sphincsshake192fsimple,84.679011,0.634152
sphincsshake128ssimple,666.863182,0.914918
sphincsshake128fsimple,80.114479,0.6877460000000001
sphincssha2256ssimple,904.36239,1.069429
sphincssha2256fsimple,123.71118100000001,0.563675
sphincssha2192ssimple,1321.534008,1.051857
sphincssha2192fsimple,91.910885,0.607246
sphincssha2128ssimple,937.443789,1.3041719999999999
sphincssha2128fsimple,85.558232,0.5710230000000001
mldsa87,71.878342,0.838883
mldsa65,71.394195,0.756567
mldsa44,70.82423,0.6811550000000001
falcon512,108.29947700000001,5.40146
falcon1024,169.84679,10.365658
RSA,1901.367735,581.745864
EC,70.47044600000001,0.56369
