algorithm,value,std
sphincsshake256ssimple,7160.039662,5.130091
sphincsshake256fsimple,946.842956,0.672443
sphincsshake192ssimple,8091.607689,12.131094000000001
sphincsshake192fsimple,569.9574600000001,0.622295
sphincsshake128ssimple,4738.031334,8.713294999999999
sphincsshake128fsimple,433.55256199999997,0.639851
sphincssha2256ssimple,10373.037337,6.084814
sphincssha2256fsimple,1259.9345369999999,0.8481839999999999
sphincssha2192ssimple,11626.623409,4.703972
sphincssha2192fsimple,723.286599,0.810217
sphincssha2128ssimple,6804.070658,3.221285
sphincssha2128fsimple,527.937893,0.662283
mldsa87,218.883867,1.716761
mldsa65,217.11675599999998,1.561403
mldsa44,216.211943,1.1339679999999999
falcon512,215.11814700000002,0.717823
falcon1024,217.320174,0.577988
RSA,219.619768,0.5719339999999999
EC,209.31401499999998,0.460243
