algorithm,value,std
sphincsshake256ssimple,216.970545,0.481228
sphincsshake256fsimple,227.724487,0.584793
sphincsshake192ssimple,213.889318,0.479912
sphincsshake192fsimple,227.433536,0.574167
sphincsshake128ssimple,211.647081,0.493664
sphincsshake128fsimple,220.20507,0.487891
sphincssha2256ssimple,228.003378,0.430058
sphincssha2256fsimple,242.625034,0.574938
sphincssha2192ssimple,223.22561599999997,0.535095
sphincssha2192fsimple,241.6581,0.5172249999999999
sphincssha2128ssimple,220.770249,0.541258
sphincssha2128fsimple,233.002264,0.5142519999999999
mldsa87,209.286581,0.45922999999999997
mldsa65,208.66753,0.566705
mldsa44,208.50068,0.53245
falcon512,207.744288,0.532814
falcon1024,208.947978,0.520452
RSA,203.209972,0.580902
EC,203.714913,0.5103679999999999
